start_date,start_time,end_date,end_time,start_freq,end_freq,Loc,NOAA,Imp,cme_date,cme_time,CPA,Width,Speed,Plots,is_halo,width_is_lower_bound
2002/01/27,12:49,01/27,13:25,14000,3000,W90b,DIM,,01/27,12:30,,360,1136,PHTX,True,False
2002/02/01,19:23,02/01,19:31,14000,11000,N26W07,DIM,,02/01,19:54,350,89,448,PHTX,False,False
2002/02/21,12:35,02/21,12:50,4000,1500,N16W79,9825,M3.9,02/21,12:54,275,108,358,PHTX,False,False
2002/03/11,00:00,03/11,00:15,14000,8000,S11E90,9866,M2.3,03/10,23:06,,360,1429,PHTX,True,False
2002/03/12,00:00,03/12,02:20,14000,2200,S15E45,9870,M5.0,03/11,23:30,,360,950,PHTX broad feature,True,False
2002/03/15,22:45,03/15,23:30,14000,6000,S08W03,9866,M2.2,03/15,23:06,,360,957,PHTX,True,False
2002/03/17,06:00,03/17,06:35,3000,1000,S20E24,9871,C3.1,03/17,04:06,141,56,658,PHTX,False,False
2002/03/18,02:55,03/18,05:35,14000,1000,S10W30,9873,M1.0,03/18,02:54,,360,989,PHTX,True,False
2002/03/22,11:30,03/22,12:40,14000,500,S09W90,9866,M1.6,03/22,11:06,,360,1750,PHTX,True,False
2002/03/22,13:10,03/22,13:35,3000,2000,S00W90,9866,M1.6,03/22,12:30,243,120,875,PHTX,False,False
2002/04/10,12:59,04/10,13:02,13000,12000,N15W14,9893,M8.2,04/10,13:27,340,159,650,PHTX,False,False
2002/04/14,07:50,04/14,08:10,14000,8000,N19W57,9893,C9.6,04/14,07:50,323,76,757,PHTX,False,False
2002/04/15,03:35,04/15,04:15,11000,1500,S15W01,9906,M1.2,04/15,03:50,,360,720,PHTX,True,False
2002/04/17,08:30,04/19,04:00,5000,40,S14W34,9906,M2.6,04/17,08:26,,360,1240,PHTX,True,False
2002/04/21,01:30,04/21,24:00,10000,60,S14W84,9906,X1.5,04/21,01:27,,360,2393,PHTX,True,False
2002/04/30,14:15,04/30,14:23,4000,2500,S16E77,9934,C3.2,04/30,14:26,92,90,618,PHTX,False,False
2002/04/30,22:30,04/30,23:20,2000,500,W90b,DIM,,04/30,23:26,254,199,1103,PHTX uncertain,False,False
2002/05/02,23:50,05/03,00:10,2800,900,E90b,,,05/02,23:18,119,99,902,PHTX uncertain,False,False
2002/05/16,01:50,05/16,03:30,9000,2000,S22E01,9948,C4.5,05/16,00:50,,360,600,PHTX,True,False
2002/05/22,00:00,05/22,00:30,14000,8000,S25W64,9948,C9.7,05/22,00:06,230,186,1246,PHTX,False,False
2002/05/27,12:50,05/27,13:50,14000,5000,N18E18,9967,C3.7,05/27,13:27,49,161,1106,PHTX,False,True
2002/07/07,11:35,07/07,20:00,14000,200,S19W90,10017,M1.0,07/07,11:30,277,228,1423,PHTX,False,True
2002/07/09,19:46,07/09,20:40,1000,650,W90b,DIM,,07/09,19:31,,360,1076,PHTX,True,False
2002/07/15,21:15,07/16,05:00,5000,175,N19W01,10030,M1.8,07/15,21:30,14,188,1300,PHTX,False,True
2002/07/17,07:30,07/17,07:45,3500,2000,N21W17,10030,M8.5,07/17,07:31,36,177,716,PHTX,False,False
2002/07/18,07:55,07/18,08:45,14000,1500,N19W30,10030,X1.8,07/18,08:06,,360,1099,PHTX,True,False
2002/07/18,20:55,07/18,21:40,6000,3000,E90b,10036,C3.3,07/18,19:31,,360,2191,PHTX,True,False
2002/07/19,16:40,07/19,17:10,5000,1000,S15E90,,,07/19,16:30,,360,2047,PHTX,True,False
2002/07/20,21:30,07/20,22:20,10000,2000,S13E90,10039,X3.3,07/20,22:06,,360,1941,PHTX,True,False
2002/07/23,00:50,07/23,04:00,11000,400,S13E72,10039,X4.8,07/23,00:42,,360,2285,PHTX,True,False
2002/07/26,22:27,07/26,23:30,14000,2000,S19E26,10039,M8.7,07/26,22:06,,360,818,PHTX,True,False
2002/07/29,12:10,07/29,12:45,4200,1300,N35W33,EP,,07/29,12:07,13,236,562,PHTX,False,True
2002/08/03,19:20,08/03,20:30,14000,2000,S16W76,10039,X1.0,08/03,19:31,259,138,1150,PHTX,False,False
2002/08/14,02:20,08/14,24:00,1000,30,N09W54,10061,M2.3,08/14,02:30,297,133,1309,PHTX,False,False
2002/08/16,06:15,08/16,09:30,14000,300,N07W83,10061,M2.4,08/16,06:06,293,162,1378,PHTX,False,False
2002/08/16,12:20,08/17,21:00,14000,60,S14E20,10069,M5.2,08/16,12:30,,360,1585,PHTX,True,False
2002/08/22,02:50,08/22,04:13,14000,3500,S07W62,10069,M5.4,08/22,02:06,,360,998,"PHTX Faint, broad feature",True,False
2002/08/24,01:45,08/24,03:25,5000,400,S02W81,10069,X3.1,08/24,01:27,,360,1913,PHTX,True,False
2002/09/05,16:55,09/07,16:22,14000,30,N09E28,10102,C5.2,09/05,16:54,,360,1748,PHTX,True,False
2002/09/10,15:19,09/10,16:00,14000,8500,S10E43,10105,M2.9,09/10,15:30,127,38,273,PHTX,False,False
2002/09/27,13:35,09/27,14:30,14000,8000,N13E45,10134,M1.8,09/27,13:56,64,64,591,PHTX,False,False
2002/10/13,18:10,10/13,18:40,14000,4000,S07W54,10150,C4.7,10/13,19:35,252,141,373,PHTX,False,False
2002/10/14,00:19,10/14,02:00,1700,500,S13E75,10159,M2.2,10/13,23:54,107,264,1009,PHTX uncertain,False,False
2002/10/14,14:35,10/14,16:50,14000,1200,NE90b,DIM,C4.5,10/14,14:54,,360,1694,PHTX,True,False
2002/10/27,23:06,10/28,01:20,14000,300,BACK,,,10/27,23:18,,360,2115,PHTX,True,False
2002/11/09,13:20,11/10,03:00,14000,100,S12W29,10180,M4.6,11/09,13:31,,360,1838,PHTX,True,False
2002/11/10,03:20,11/10,06:00,3000,300,S12W37,10180,M2.4,11/10,03:30,203,282,1670,PHTX,False,False
2002/11/11,16:15,11/11,17:50,14000,600,S13W60,10180,M1.8,11/11,15:54,212,93,1083,PHTX,False,False
2002/11/24,20:05,11/24,20:45,14000,7000,N20E35,EP,,11/24,20:30,,360,1077,PHTX,True,False
2002/12/19,21:45,12/19,22:30,14000,1500,N15W09,10229,M2.7,12/19,22:06,,360,1092,PHTX,True,False
2002/12/22,04:20,12/22,04:50,5500,3500,N23W42,10223,M1.1,12/22,03:30,328,272,1071,PHTX,False,False
